NAME,TYPE,LAT,LONG
ΓΝ Θώρακος Αθηνών (Η Σωτηρία),Βασικό,37.9950554,23.7855044
ΓΝ Αθηνών (Ο Ευαγγελισμός),Αναπληρωματικό,37.9776983,23.7475192
Πανεπιστημιακό ΓΝ Αττικόν,Βασικό,38.016525,23.665099
ΓΝ Ελευσίνας (Θριάσιο),Αναπληρωματικό,38.0717948,23.5321747
Πανεπιστημιακό ΓΝ Θεσσαλονίκης (ΑΧΕΠΑ),Βασικό,40.6295108,22.9599348
Πανεπιστημιακό ΓΝ Αλεξανδρούπολης,Αναπληρωματικό,40.8615145,25.8018864
ΓΝ Πτολεμαίδας (Μποδοσάκειο),Αναπληρωματικό,40.5435145,21.6549885
Πανεπιστημιακό ΓΝ Λάρισας,Αναπληρωματικό,39.6109736,22.386339
ΓΝ Λαμίας,Αναπληρωματικό,38.9291524,22.4225861
Πανεπιστημιακό ΓΝ Πατρών (Παναγία η Βοήθεια),Βασικό,38.2945837,21.7949653
Πανεπιστημιακό ΓΝ Ιωαννίνων,Αναπληρωματικό,39.6208705,20.8424691
Πανεπιστημιακό ΓΝ Ηρακλείου,Βασικό,35.3041585,25.0830548
ΓΝ Χανίων (Ο Άγιος Γεώργιος),Αναπληρωματικό,35.4786005,24.0154742
ΓΝ Παίδων (Αγία Σοφία),Βασικό,37.9847845,23.7689011
ΓΝ Παίδων Αγλαία Κυριακού (Παράρτημα Καλλιθέας),Βασικό,37.9484667,23.7055812
